cluster	chr	start	end	strand	tpm	nr_ctss	dominant_ctss	tpm.dominant_ctss
1014	chr4	41723136	41723163	-	9.84805072805073	3	41723153	5.35541996413883
486	chr2	23572077	23572085	-	10.6743574814607	2	23572078	7.59958944355572
898	chr4	101647769	101647770	+	10.7645092509721	1	101647770	10.7645092509721
3058	chr12	84417269	84417318	+	11.1907999861713	3	84417318	4.38356478159011
3077	chr12	104236132	104236137	+	11.9317195025339	2	104236133	9.1871072336279
299	chr1	182282743	182282794	-	12.4755445788643	3	182282794	5.99963583994896
2119	chr8	52197182	52197183	-	12.9588310172018	1	52197183	12.9588310172018
2186	chr8	111259209	111259221	-	13.4726625512169	2	111259210	11.3930117739256
1733	chr7	44467994	44467995	+	16.9992788112722	1	44467995	16.9992788112722
534	chr2	73453876	73453927	-	17.4110194846634	2	73453877	10.4497539842772
3401	chr14	18270981	18270983	-	18.6736975866337	2	18270983	11.3930117739256
3663	chr16	8637722	8637756	+	18.7658743520945	4	8637738	6.64130298625633
391	chr2	118861993	118862017	+	19.9516164846	2	118861994	10.7645092509721
4455	chrX	93632134	93632153	-	22.6197839247508	4	93632135	9.1871072336279
2643	chr10	127311653	127311678	-	23.0660736866869	3	127311678	10.7645092509721
4015	chr17	78937043	78937080	-	23.9794489639695	6	78937080	5.99963583994896
1077	chr4	129619079	129619095	-	24.2516646425088	4	129619095	9.50333785163414
1921	chr7	101995419	101995420	-	24.3708162546266	1	101995420	24.3708162546266
16	chr1	36761830	36761856	+	24.4662913833692	2	36761831	20.0827266017791
91	chr1	143777291	143777305	+	26.5612742686576	3	143777295	10.7645092509721
2760	chr11	87127177	87127210	+	27.9908756061996	4	87127210	11.3930117739256
4051	chr18	36793837	36793842	+	31.4072645197713	2	36793838	22.5367903415191
3435	chr14	55590923	55590959	-	32.3639729995395	6	55590940	8.23593773235482
1736	chr7	44997654	44997677	+	33.6816047099779	4	44997674	14.2064256564519
1437	chr6	57581007	57581008	+	34.6774761127378	1	57581008	34.6774761127378
2122	chr8	57487839	57487863	-	36.4615677736854	4	57487840	18.2349457537888
2752	chr11	83499121	83499149	+	36.5832672288015	4	83499149	13.2711297178161
149	chr1	10037950	10037954	-	37.230272756284	3	10037951	15.7602839529599
677	chr3	88325045	88325060	+	38.2254745781986	4	88325046	13.583157321999
3025	chr12	28649615	28649643	+	39.5287803348507	2	28649616	36.7841680659447
2829	chr11	6274840	6274870	-	43.7849519388179	3	6274841	27.7202636020942
3819	chr17	29032672	29032673	+	44.8705089290415	1	29032673	44.8705089290415
3704	chr16	44811783	44811816	+	45.5219801448496	4	44811784	30.752226927784
82	chr1	134415468	134415484	+	51.1459401556384	5	134415469	14.5176788254268
2038	chr8	83715198	83715272	+	59.9312673561846	4	83715268	28.0239904461499
939	chr4	130663365	130663390	+	61.6410325775665	4	130663388	32.2640071910917
2880	chr11	69895528	69895540	-	63.6340213879816	3	69895530	35.8818608059357
976	chr4	152189955	152190004	+	64.4272820803327	5	152189982	21.617733464792
4198	chr19	44931162	44931171	+	75.5542846063945	3	44931163	62.6603361680275
463	chr2	178327627	178327671	+	78.8003132331095	3	178327628	46.6598153196367
3108	chr12	31950219	31950223	-	80.2285931272519	2	31950220	72.9479073145438
2962	chr11	106255787	106255844	-	84.9739600615051	7	106255826	37.0847546633006
4283	chr19	20390671	20390673	-	85.1126059743147	2	20390672	64.7225415044639
103	chr1	161035163	161035171	+	86.7875010617538	3	161035166	61.1858014463106
571	chr2	120563827	120563859	-	87.5439502855905	8	120563841	40.6849932267413
567	chr2	119787509	119787519	-	88.2517203239274	4	119787512	57.6414936455193
1630	chr6	126849121	126849130	-	89.0241651093638	3	126849125	40.9844679004407
2343	chr9	20952816	20952872	-	97.8387989106157	11	20952853	18.5433716205327
1027	chr4	62525043	62525068	-	99.410299387394	6	62525051	25.5906498236704
3378	chr14	73552781	73552804	+	104.845273752822	7	73552798	49.6364197881693
3522	chr15	84923388	84923412	+	130.160079638755	4	84923412	84.6400955092676
2206	chr9	3404044	3404088	+	133.507236598197	5	3404078	53.4962303204333
3123	chr12	69475546	69475567	-	139.682453553449	3	69475550	109.586685299142
3040	chr12	70453101	70453158	+	146.789573576509	9	70453148	59.1192389777344
3374	chr14	65837348	65837372	+	151.981247439004	9	65837362	62.0706776985843
4344	chrX	48695024	48695090	+	181.557267970616	11	48695090	60.0052298448795
2986	chr11	115419912	115419941	-	182.088822759525	5	115419927	114.491561269291
3114	chr12	54695820	54695879	-	197.55247213875	10	54695877	52.9031013354877
4029	chr18	9958162	9958180	+	207.071557089172	6	9958176	90.7541272608233
2028	chr8	72161339	72161350	+	223.998491457429	6	72161348	72.6547573363661
427	chr2	151494282	151494299	+	283.080329696945	9	151494290	62.0706776985843
3479	chr15	39112873	39112930	+	326.174249946839	15	39112890	53.1996963439689
4381	chrX	101429664	101429729	+	366.939759168329	12	101429704	98.0130306974811
1427	chr6	48718626	48718678	+	377.501891625642	10	48718652	141.195376552489
3224	chr13	81783245	81783313	+	384.636836385979	17	81783264	181.904101469941
1693	chr7	5062190	5062248	+	416.688785144885	13	5062205	136.329087050709
3141	chr12	91849109	91849157	-	505.902585140239	17	91849130	194.923922407978
1837	chr7	16286725	16286783	-	623.550830796147	15	16286774	189.267206024744
726	chr3	122274376	122274410	+	786.253043381138	12	122274407	339.720515448989
3071	chr12	100199526	100199571	+	1415.81064664838	5	100199527	1180.16543801518
