# pos.ratio_Spleen_rep1_RNA_counts_pos.ratio_bin
i	j	dp.expected	dp.obs	pos.ratio	enrich	p	dn	ipjn	injp	dp	jp.in.in	jp.in.ip	q
j	a	13.2121462507746	9	0.636	0.681	0.2258	3952	69	811	9	0.17	0.115	0.3061
m	f	104.32761826069	136	1.913	1.304	0	2362	2269	74	136	0.03	0.057	0
m	d	1401.4676719686	1701	2.839	1.214	0	1316	704	1120	1701	0.46	0.707	0
m	h	1399.97727742202	1555	1.699	1.111	0	1173	850	1263	1555	0.518	0.647	0
m	n	288.639743854575	307	1.155	1.064	0.1113	2162	2098	274	307	0.112	0.128	0.1926
m	i	1413.88762652345	1257	0.584	0.889	0	847	1148	1589	1257	0.652	0.523	0
m	g	1139.1582317703	1163	1.082	1.021	0.1761	1306	1242	1130	1163	0.464	0.484	0.2556
m	j	38.7502582111134	51	1.933	1.316	0.0059	2409	2354	27	51	0.011	0.021	0.0144
m	m	1194.799628176	2405	Inf	NA	NA	2436	0	0	2405	0	1	NA
m	c	925.038215244784	934	1.032	1.01	0.6155	1508	1471	928	934	0.381	0.388	0.7289
m	a	407.374509398885	471	1.456	1.156	0	2087	1934	349	471	0.143	0.196	0
c	f	80.7725676513117	69	0.775	0.854	0.0953	2838	1793	141	69	0.047	0.037	0.1787
c	d	1085.04482544929	1191	1.469	1.098	0	1349	671	1630	1191	0.547	0.64	0
c	h	1083.8909316257	1155	1.293	1.066	0	1316	707	1663	1155	0.558	0.62	0
c	n	223.470770501962	224	1.004	1.002	0.9638	2622	1638	357	224	0.12	0.12	0.9857
c	i	1094.66060731254	1028	0.787	0.939	0.0001	1161	834	1818	1028	0.61	0.552	0.0003
c	g	881.959512497418	771	0.677	0.874	0	1457	1091	1522	771	0.511	0.414	0
c	j	30.0012394133444	27	0.845	0.9	0.5578	2928	1835	51	27	0.017	0.015	0.7172
c	m	925.038215244784	934	1.032	1.01	0.6155	1508	928	1471	934	0.494	0.502	0.7289
c	c	716.183433174964	1862	Inf	NA	NA	2979	0	0	1862	0	1	NA
c	a	315.397645114646	251	0.66	0.796	0	2410	1611	569	251	0.191	0.135	0
a	f	35.5711629828548	46	1.398	1.293	0.0593	3857	774	164	46	0.041	0.056	0.116
a	d	477.839289403016	528	1.363	1.105	0.0001	1728	292	2293	528	0.57	0.644	0.0003
a	h	477.331129931832	495	1.113	1.037	0.1741	1698	325	2323	495	0.578	0.604	0.2556
a	n	98.4135509192316	111	1.183	1.128	0.1406	3551	709	470	111	0.117	0.135	0.2182
a	i	482.07395166288	397	0.602	0.824	0	1572	423	2449	397	0.609	0.484	0
a	g	388.403222474695	415	1.169	1.068	0.042	2143	405	1878	415	0.467	0.506	0.0859
a	j	13.2121462507746	9	0.636	0.681	0.2258	3952	811	69	9	0.017	0.011	0.3061
a	m	407.374509398885	471	1.456	1.156	0	2087	349	1934	471	0.481	0.574	0
a	c	315.397645114646	251	0.66	0.796	0	2410	569	1611	251	0.401	0.306	0
a	a	138.896922123528	820	Inf	NA	NA	4021	0	0	820	0	1	NA


# pos.ratio_Spleen_rep1_RNA_counts_pos.ratio_bin
gene	a	c	d	f	g	h	i	j	m	n
a	NA	0.66	1.363	1.398	1.169	1.113	0.602	0.636	1.456	1.183
c	0.66	NA	1.469	0.775	0.677	1.293	0.787	0.845	1.032	1.004
d	1.363	1.469	NA	1.197	1.296	2.02	0.596	1.44	2.839	1.045
f	1.398	0.775	1.197	NA	1.419	1.395	0.951	0.88	1.913	1.285
g	1.169	0.677	1.296	1.419	NA	1.175	0.575	1.447	1.082	1.038
h	1.113	1.293	2.02	1.395	1.175	NA	0.967	1.444	1.699	1.684
i	0.602	0.787	0.596	0.951	0.575	0.967	NA	0.906	0.584	1.045
j	0.636	0.845	1.44	0.88	1.447	1.444	0.906	NA	1.933	1.208
m	1.456	1.032	2.839	1.913	1.082	1.699	0.584	1.933	NA	1.155
n	1.183	1.004	1.045	1.285	1.038	1.684	1.045	1.208	1.155	NA


# pos.ratio_Spleen_rep2_RNA_counts_pos.ratio_bin
i	j	dp.expected	dp.obs	pos.ratio	enrich	p	dn	ipjn	injp	dp	jp.in.in	jp.in.ip	q
f	f	3.57484802431611	97	Inf	NA	NA	2535	0	0	97	0	1	NA
f	d	54.6546352583587	57	1.108	1.043	0.677	1109	40	1426	57	0.563	0.588	0.8234
f	h	53.2910334346505	71	2.304	1.332	0.0002	1160	26	1375	71	0.542	0.732	0.0006
f	n	9.65577507598784	12	1.29	1.243	0.3888	2285	85	250	12	0.099	0.124	0.5302
f	i	53.2910334346505	46	0.731	0.863	0.1455	1135	51	1400	46	0.552	0.474	0.2338
f	g	39.8761398176292	60	2.401	1.505	0	1513	37	1022	60	0.403	0.619	0
f	j	1.14247720364742	1	0.87	0.875	1	2505	96	30	1	0.012	0.01	1
f	m	54.5072188449848	65	1.61	1.193	0.0288	1121	32	1414	65	0.558	0.67	0.054
f	c	35.6747720364742	34	0.925	0.953	0.7488	1601	63	934	34	0.368	0.351	0.8629
f	a	13.8571428571429	15	1.102	1.082	0.767	2174	82	361	15	0.142	0.155	0.8629
d	f	54.6546352583587	57	1.108	1.043	0.677	1109	1426	40	57	0.035	0.038	0.8234
d	d	835.596124620061	1483	Inf	NA	NA	1149	0	0	1483	0	1	NA
d	h	814.748480243161	937	2.158	1.15	0	640	546	509	937	0.443	0.632	0
d	n	147.623860182371	138	0.848	0.935	0.2128	1025	1345	124	138	0.108	0.093	0.3302
d	i	814.748480243161	707	0.505	0.868	0	410	776	739	707	0.643	0.477	0
d	g	609.65273556231	656	1.346	1.076	0.0002	723	827	426	656	0.371	0.442	0.0006
d	j	17.4669452887538	25	3.266	1.431	0.0058	1143	1458	6	25	0.005	0.017	0.0124
d	m	833.342325227964	1019	3.289	1.223	0	689	464	460	1019	0.4	0.687	0
d	c	545.419452887538	589	1.339	1.08	0.0004	770	894	379	589	0.33	0.397	0.0011
d	a	211.857142857143	249	1.624	1.175	0	1022	1234	127	249	0.111	0.168	0
h	f	53.2910334346505	71	2.304	1.332	0.0002	1160	1375	26	71	0.022	0.049	0.0006
h	d	814.748480243161	937	2.158	1.15	0	640	509	546	937	0.46	0.648	0
h	h	794.420972644377	1446	Inf	NA	NA	1186	0	0	1446	0	1	NA
h	n	143.940729483283	173	1.675	1.202	0.0001	1097	1273	89	173	0.075	0.12	0.0003
h	i	794.420972644377	796	1.01	1.002	0.906	536	650	650	796	0.548	0.55	0.9481
h	g	594.442249240122	645	1.38	1.085	0.0001	749	801	437	645	0.368	0.446	0.0003
h	j	17.0311550151976	20	1.498	1.174	0.3643	1175	1426	11	20	0.009	0.014	0.5123
h	m	812.550911854103	891	1.633	1.097	0	598	555	588	891	0.496	0.616	0
h	c	531.811550151976	563	1.23	1.059	0.0118	781	883	405	563	0.341	0.389	0.0231
h	a	206.571428571429	209	1.031	1.012	0.8229	1019	1237	167	209	0.141	0.145	0.8817
n	f	9.65577507598784	12	1.29	1.243	0.3888	2285	250	85	12	0.036	0.046	0.5302
n	d	147.623860182371	138	0.848	0.935	0.2128	1025	124	1345	138	0.568	0.527	0.3302
n	h	143.940729483283	173	1.675	1.202	0.0001	1097	89	1273	173	0.537	0.66	0.0003
n	n	26.080547112462	262	Inf	NA	NA	2370	0	0	262	0	1	NA
n	i	143.940729483283	146	1.036	1.014	0.794	1070	116	1300	146	0.549	0.557	0.8715
n	g	107.706686930091	105	0.954	0.975	0.7411	1393	157	977	105	0.412	0.401	0.8629
n	j	3.08586626139818	1	0.299	0.324	0.3595	2340	261	30	1	0.013	0.004	0.5123
n	m	147.225683890578	147	0.996	0.998	1	1038	115	1332	147	0.562	0.561	1
n	c	96.3586626139818	111	1.298	1.152	0.0504	1513	151	857	111	0.362	0.424	0.0872
n	a	37.4285714285714	42	1.164	1.122	0.4024	2036	220	334	42	0.141	0.16	0.5326
i	f	53.2910334346505	46	0.731	0.863	0.1455	1135	1400	51	46	0.043	0.032	0.2338
i	d	814.748480243161	707	0.505	0.868	0	410	739	776	707	0.654	0.489	0
i	h	794.420972644377	796	1.01	1.002	0.906	536	650	650	796	0.548	0.55	0.9481
i	n	143.940729483283	146	1.036	1.014	0.794	1070	1300	116	146	0.098	0.101	0.8715
i	i	794.420972644377	1446	Inf	NA	NA	1186	0	0	1446	0	1	NA
i	g	594.442249240122	502	0.556	0.844	0	606	944	580	502	0.489	0.347	0
i	j	17.0311550151976	11	0.447	0.646	0.0304	1166	1435	20	11	0.017	0.008	0.0547
i	m	812.550911854103	723	0.569	0.89	0	430	723	756	723	0.637	0.5	0
i	c	531.811550151976	496	0.79	0.933	0.0039	714	950	472	496	0.398	0.343	0.0088
i	a	206.571428571429	180	0.718	0.871	0.003	990	1266	196	180	0.165	0.124	0.0073
g	f	39.8761398176292	60	2.401	1.505	0	1513	1022	37	60	0.024	0.055	0
g	d	609.65273556231	656	1.346	1.076	0.0002	723	426	827	656	0.534	0.606	0.0006
g	h	594.442249240122	645	1.38	1.085	0.0001	749	437	801	645	0.517	0.596	0.0003
g	n	107.706686930091	105	0.954	0.975	0.7411	1393	977	157	105	0.101	0.097	0.8629
g	i	594.442249240122	502	0.556	0.844	0	606	580	944	502	0.609	0.464	0
g	g	444.803951367781	1082	Inf	NA	NA	1550	0	0	1082	0	1	NA
g	j	12.7439209726444	11	0.786	0.863	0.5852	1530	1071	20	11	0.013	0.01	0.7315
g	m	608.008358662614	645	1.267	1.061	0.0031	716	437	834	645	0.538	0.596	0.0073
g	c	397.939209726444	332	0.636	0.834	0	914	750	636	332	0.41	0.307	0
g	a	154.571428571429	178	1.345	1.152	0.0092	1352	904	198	178	0.128	0.165	0.0188
j	f	1.14247720364742	1	0.87	0.875	1	2505	30	96	1	0.037	0.032	1
j	d	17.4669452887538	25	3.266	1.431	0.0058	1143	6	1458	25	0.561	0.806	0.0124
j	h	17.0311550151976	20	1.498	1.174	0.3643	1175	11	1426	20	0.548	0.645	0.5123
j	n	3.08586626139818	1	0.299	0.324	0.3595	2340	30	261	1	0.1	0.032	0.5123
j	i	17.0311550151976	11	0.447	0.646	0.0304	1166	20	1435	11	0.552	0.355	0.0547
j	g	12.7439209726444	11	0.786	0.863	0.5852	1530	20	1071	11	0.412	0.355	0.7315
j	j	0.365121580547112	31	Inf	NA	NA	2601	0	0	31	0	1	NA
j	m	17.4198328267477	26	4.108	1.493	0.0016	1148	5	1453	26	0.559	0.839	0.0042
j	c	11.4012158054711	8	0.595	0.702	0.2613	1641	23	960	8	0.369	0.258	0.3919
j	a	4.42857142857143	8	2.111	1.806	0.0722	2233	23	368	8	0.141	0.258	0.1203
m	f	54.5072188449848	65	1.61	1.193	0.0288	1121	1414	32	65	0.028	0.044	0.054
m	d	833.342325227963	1019	3.289	1.223	0	689	460	464	1019	0.402	0.689	0
m	h	812.550911854103	891	1.633	1.097	0	598	588	555	891	0.481	0.602	0
m	n	147.225683890578	147	0.996	0.998	1	1038	1332	115	147	0.1	0.099	1
m	i	812.550911854103	723	0.569	0.89	0	430	756	723	723	0.627	0.489	0
m	g	608.008358662614	645	1.267	1.061	0.0031	716	834	437	645	0.379	0.436	0.0073
m	j	17.4198328267477	26	4.108	1.493	0.0016	1148	1453	5	26	0.004	0.018	0.0042
m	m	831.094604863222	1479	Inf	NA	NA	1153	0	0	1479	0	1	NA
m	c	543.948328267477	534	0.936	0.982	0.4389	719	945	434	534	0.376	0.361	0.5643
m	a	211.285714285714	246	1.57	1.164	0.0001	1023	1233	130	246	0.113	0.166	0.0003
c	f	35.6747720364742	34	0.925	0.953	0.7488	1601	934	63	34	0.038	0.035	0.8629
c	d	545.419452887538	589	1.339	1.08	0.0004	770	379	894	589	0.537	0.608	0.0011
c	h	531.811550151976	563	1.23	1.059	0.0118	781	405	883	563	0.531	0.582	0.0231
c	n	96.3586626139818	111	1.298	1.152	0.0504	1513	857	151	111	0.091	0.115	0.0872
c	i	531.811550151976	496	0.79	0.933	0.0039	714	472	950	496	0.571	0.512	0.0088
c	g	397.939209726444	332	0.636	0.834	0	914	636	750	332	0.451	0.343	0
c	j	11.4012158054711	8	0.595	0.702	0.2613	1641	960	23	8	0.014	0.008	0.3919
c	m	543.948328267477	534	0.936	0.982	0.4389	719	434	945	534	0.568	0.552	0.5643
c	c	356.012158054711	968	Inf	NA	NA	1664	0	0	968	0	1	NA
c	a	138.285714285714	86	0.462	0.622	0	1374	882	290	86	0.174	0.089	0
a	f	13.8571428571429	15	1.102	1.082	0.767	2174	361	82	15	0.036	0.04	0.8629
a	d	211.857142857143	249	1.624	1.175	0	1022	127	1234	249	0.547	0.662	0
a	h	206.571428571429	209	1.031	1.012	0.8229	1019	167	1237	209	0.548	0.556	0.8817
a	n	37.4285714285714	42	1.164	1.122	0.4024	2036	334	220	42	0.098	0.112	0.5326
a	i	206.571428571429	180	0.718	0.871	0.003	990	196	1266	180	0.561	0.479	0.0073
a	g	154.571428571429	178	1.345	1.152	0.0092	1352	198	904	178	0.401	0.473	0.0188
a	j	4.42857142857143	8	2.111	1.806	0.0722	2233	368	23	8	0.01	0.021	0.1203
a	m	211.285714285714	246	1.57	1.164	0.0001	1023	130	1233	246	0.547	0.654	0.0003
a	c	138.285714285714	86	0.462	0.622	0	1374	290	882	86	0.391	0.229	0
a	a	53.7142857142857	376	Inf	NA	NA	2256	0	0	376	0	1	NA


# pos.ratio_Spleen_rep2_RNA_counts_pos.ratio_bin
gene	a	c	d	f	g	h	i	j	m	n
a	NA	0.462	1.624	1.102	1.345	1.031	0.718	2.111	1.57	1.164
c	0.462	NA	1.339	0.925	0.636	1.23	0.79	0.595	0.936	1.298
d	1.624	1.339	NA	1.108	1.346	2.158	0.505	3.266	3.289	0.848
f	1.102	0.925	1.108	NA	2.401	2.304	0.731	0.87	1.61	1.29
g	1.345	0.636	1.346	2.401	NA	1.38	0.556	0.786	1.267	0.954
h	1.031	1.23	2.158	2.304	1.38	NA	1.01	1.498	1.633	1.675
i	0.718	0.79	0.505	0.731	0.556	1.01	NA	0.447	0.569	1.036
j	2.111	0.595	3.266	0.87	0.786	1.498	0.447	NA	4.108	0.299
m	1.57	0.936	3.289	1.61	1.267	1.633	0.569	4.108	NA	0.996
n	1.164	1.298	0.848	1.29	0.954	1.675	1.036	0.299	0.996	NA


