cluster	chr	start	end	strand	tpm	nr_ctss	dominant_ctss	tpm.dominant_ctss
8170	chr8	107586655	107586712	-	10.3035780112125	4	107586712	3.73129647000932
9155	chr10	3973091	3973109	+	10.3092283528232	4	3973107	3.40361760229058
4473	chr5	53998684	53998712	+	10.836216131154	3	53998712	4.70832304432077
3203	chr4	8854165	8854276	+	10.9710164041075	4	8854241	3.40361760229058
16005	chr19	5291374	5291408	-	11.2961757787303	4	5291397	3.40361760229058
8732	chr9	124106015	124106118	+	11.7315707237739	5	124106041	2.41297998662066
5792	chr6	30509704	30509715	-	12.9334037421371	5	30509715	6.32077014711831
7910	chr8	128710293	128710363	+	13.2544510482411	4	128710294	5.35541996413883
8619	chr9	108692127	108692205	+	13.3449255623406	5	108692161	4.70832304432077
5051	chr5	105239542	105239550	-	13.3651361196511	5	105239545	4.38356478159011
4662	chr5	123996249	123996362	+	13.8269255626613	7	123996349	3.40361760229058
15356	chr18	76930038	76930096	+	13.9166298219561	4	76930045	5.35541996413883
5167	chr5	136136007	136136062	-	14.888524565485	4	136136057	5.99963583994896
16824	chrX	105876605	105876665	-	15.4448868379458	6	105876606	4.05791499852969
14573	chr17	36958583	36958602	+	17.609366440583	5	36958600	6.32077014711831
103	chr1	40516194	40516287	+	20.1915374119288	7	40516221	3.73129647000932
13781	chr15	98534242	98534289	-	21.5151289826237	9	98534257	6.32077014711831
1749	chr2	130563741	130563769	+	21.9694498032245	7	130563759	9.1871072336279
12719	chr14	16387285	16387397	+	23.2180646838024	8	16387368	5.03225576671338
9066	chr9	106247866	106247912	-	24.575357365691	3	106247867	20.0827266017791
149	chr1	44147895	44147936	+	26.1285827600104	4	44147927	9.81918040046202
13800	chr15	100645137	100645196	-	27.4100284764701	11	100645149	5.03225576671338
15517	chr18	60848897	60848961	-	28.534334457962	7	60848956	15.4499831922145
10247	chr11	58978094	58978159	+	29.1689807916732	7	58978126	6.96126550038622
13164	chr14	99099725	99099770	-	31.0170300919128	8	99099758	7.9179996541247
4363	chr5	21737148	21737190	+	33.203400815712	8	21737174	8.55342323263052
7047	chr7	30650128	30650173	-	33.9721494116555	6	30650137	21.9242430952
7230	chr7	89980944	89980997	-	44.6487855929294	9	89980966	11.0789250685682
7250	chr7	100371900	100371973	-	46.4676267418385	21	100371942	7.59958944355572
6294	chr6	130304880	130305075	-	48.1140387652846	16	130304974	5.35541996413883
10455	chr11	83501116	83501241	+	53.3293189312089	18	83501232	6.96126550038622
12075	chr12	111713176	111713250	-	62.2951867938942	12	111713212	19.7752149940238
3827	chr4	45320590	45320629	-	71.0158574422661	14	45320623	13.583157321999
6523	chr7	46845824	46845848	+	86.4400897034329	4	46845843	62.365532660615
1473	chr2	39008081	39008150	+	86.953388129958	14	39008117	19.467526743481
8196	chr8	117801908	117801943	-	95.7704410286475	11	117801939	49.6364197881693
4559	chr5	104046922	104047025	+	98.1979042459947	21	104047018	12.6462541968809
16868	chrX	155216326	155216400	-	108.640088742424	10	155216345	69.4271825578062
14685	chr17	80564027	80564035	+	127.86397885737	5	80564028	98.0130306974811
7232	chr7	90475977	90475997	-	139.684570466605	7	90475994	100.33162116615
7036	chr7	30169686	30169750	-	141.065589456891	12	30169742	60.8907380139451
16	chr1	15805645	15805678	+	156.844420978358	11	15805655	47.8512742515793
10249	chr11	59208321	59208415	+	229.182755075371	25	59208387	74.4130086582067
9810	chr10	63023792	63023902	-	269.944438042981	29	63023889	110.452830648175
2583	chr3	61364560	61364628	+	303.979402204753	19	61364615	99.7521607713058
7214	chr7	80803207	80803321	-	327.120412520622	26	80803294	80.2629879729359
11213	chr11	96916386	96916524	-	620.540297265919	44	96916492	144.912471544547
