cluster	chr	start	end	strand	tpm	nr_ctss	dominant_ctss	tpm.dominant_ctss
12121	chrX	12587778	12587841	+	8.77200064692429	5	12587801	3.74989571422072
4308	chr6	49253625	49253627	-	8.78695068146291	2	49253626	4.60676578179308
2029	chr3	116594922	116595010	+	8.81052998605426	5	116595010	4.18018489966983
7473	chr11	50378305	50378357	+	8.94116171490302	5	50378355	2.43089383151117
10954	chr17	21474909	21474942	-	9.59836754381336	2	21474942	6.28297382816333
11248	chr18	12972242	12972309	+	10.0360800044409	7	12972295	2.87602244274928
3783	chr5	136170587	136170608	-	12.4914353065657	5	136170606	4.60676578179308
1358	chr2	174614465	174614487	+	12.6824203984916	6	174614466	2.87602244274928
6088	chr9	21526149	21526194	+	13.7859757186616	8	21526156	3.74989571422072
12364	chrX	73921890	73921921	-	14.4531314273661	4	73921921	6.28297382816333
11391	chr18	84293227	84293260	+	15.5859122626059	5	84293256	4.60676578179308
2801	chr4	43937186	43937206	-	16.1373561354778	4	43937206	7.51504614556735
3628	chr5	76233099	76233106	-	16.3061549671247	3	76233106	10.7251460603576
6085	chr9	21411834	21411846	+	16.4232834273904	5	21411845	12.2984594966327
2365	chr4	21727704	21727799	+	18.2352611660236	8	21727708	5.45032514591144
11658	chr19	9008079	9008173	+	18.7318156190667	7	9008082	5.86789545351332
100	chr1	45795500	45795524	+	18.9172890036934	5	45795508	8.32686418564686
3866	chr6	15720668	15720721	+	19.1005218337536	10	15720688	4.60676578179308
4865	chr7	100493351	100493364	+	19.2258753295855	5	100493358	14.6275750043076
10460	chr16	4879817	4879843	-	19.3853888807021	4	4879831	7.92183208815659
2850	chr4	63409998	63410024	-	19.5422346342342	7	63409999	7.92183208815659
11417	chr18	10093936	10093971	-	19.6444577656346	5	10093970	12.6890612710047
12399	chrX	101734080	101734133	-	23.2517766069879	6	101734085	9.53238107345103
11214	chr17	83707399	83707403	-	25.1036657327388	4	83707402	19.1977376487697
12207	chrX	96150619	96150706	+	25.9149956518896	14	96150635	7.92183208815659
5800	chr8	25976631	25976746	-	29.9931310549	15	25976712	5.86789545351332
6572	chr9	71485910	71485935	-	33.1833185493975	9	71485921	18.4430488189563
6679	chr9	123462072	123462076	-	33.6367561779696	4	123462075	22.9358501933393
11225	chr17	87368583	87368614	-	36.8308754596209	3	87368614	24.7852399320087
9782	chr15	27681664	27681799	+	37.8046353475384	11	27681674	10.3288638345108
3195	chr5	31526990	31527018	+	39.1283382311453	8	31527002	13.4672670317469
10596	chr16	91445652	91445740	-	49.6821978654654	16	91445680	21.0737900489214
10138	chr15	77773938	77774058	-	53.4882738028889	30	77774004	5.86789545351332
3750	chr5	124032217	124032276	-	53.6193441801364	12	124032229	18.0647325600754
1902	chr3	88297115	88297230	+	66.1930351275917	18	88297139	19.5741401211442
1162	chr2	104027822	104027860	+	69.245742833057	10	104027846	34.9512615934732
8126	chr11	70015360	70015428	-	76.9600189477737	14	70015395	16.5446054141841
6725	chr10	19593479	19593802	+	101.235538232453	27	19593635	26.6230595425351
4645	chr7	5062187	5062248	+	146.150408588637	27	5062205	28.085614215668
517	chr1	53791400	53791463	-	163.65099114872	7	53791449	143.427712235387
3402	chr5	124629061	124629156	+	188.376148670295	24	124629076	38.5179794204865
3667	chr5	105139528	105139552	-	230.36460815566	7	105139552	213.698918950335
356	chr1	167308718	167308764	+	293.244129475924	17	167308738	107.725230802517
5549	chr8	57512837	57512940	+	335.825425363584	29	57512892	114.871977262806
8124	chr11	69921207	69921391	-	605.421756981919	36	69921268	145.652108734699
