chr	start	end	tpm	pct	strand
chr17	21650610	21650649	66.3562356382993	0.620918833596411	+
chr13	52929647	52929667	66.9134532100753	0.622580377170391	-
chr6	56797499	56797523	68.2433065418391	0.627066544820138	-
chr14	54554299	54554359	70.0574644087156	0.633380410401263	-
chr17	25792342	25792394	70.4110047076242	0.634626568081748	-
chr5	65867649	65867692	74.3413694609055	0.649414305890172	+
chr4	116017664	116017741	74.888969909068	0.650826617928055	-
chr8	117157767	117157855	76.0400380509919	0.655146631220404	-
chr1	91413193	91413222	87.86003246847	0.685968264517737	-
chr4	3678060	3678114	89.7301316408538	0.691700589847969	+
chr16	30065338	30065346	107.663280759693	0.725845310293262	+
chr11	69395359	69395450	107.922590594162	0.726676082080253	-
chr15	43282703	43282742	108.755388805946	0.728919165905126	-
chr2	57114910	57114948	112.576289159356	0.734900722771455	-
chr11	11686177	11686271	113.180758282941	0.735897648915843	+
chr11	116490313	116490358	120.270446953388	0.747611531112403	-
chr10	21994682	21994689	121.05472604522	0.749023843150287	+
chr15	42676466	42676540	121.204367319768	0.749688460579879	-
chr7	28810927	28810954	124.624329141705	0.754423859765722	+
chr2	166713764	166713820	125.441543424998	0.755836171803606	-
chr6	97205546	97205597	147.180524700712	0.783085486416881	-
chr3	96727441	96727519	151.574474122914	0.787903962781424	-
chr2	119897213	119897285	151.784689347985	0.78823627149622	+
chr2	3424130	3424231	153.215859167193	0.789482429176705	+
chr7	141392159	141392208	161.171349098097	0.798039378582703	+
chr11	87578408	87578482	171.304388985233	0.808091717205284	+
chr9	31386186	31386258	178.122252217122	0.813740965356817	+
chr19	46707442	46707516	184.72909736366	0.818393287363961	+
chr14	20348045	20348096	234.179666155851	0.851541081664867	-
chr16	13668127	13668176	246.709734666988	0.857605715709895	-
chr2	90679376	90679408	252.894468027354	0.860181108249564	+
chr1	151344500	151344579	256.044731476562	0.861510343108748	+
chr1	161876615	161876671	270.290361784183	0.868322671762067	-
chrX	72918330	72918433	296.769886275724	0.879122704992938	-
chr11	83020732	83020832	297.275620399136	0.879205782171637	-
chr6	117916998	117917047	353.367881533619	0.895239677660547	+
chr1	183369533	183369558	399.331167029302	0.907452022929301	-
chr1	119713111	119713224	417.40762803839	0.911356650328155	-
chr11	120572731	120572966	419.01252525241	0.911855113400349	-
chrX	35888649	35888744	450.990687200809	0.918002824624076	+
chr5	76529305	76529372	511.780921605889	0.926559774030074	+
chr6	129275361	129275372	533.200953873008	0.929301320927141	-
chr4	155831569	155831696	559.182616447702	0.932292099360306	+
chr15	79659175	79659272	669.0386052962	0.943175209769876	+
chr7	28392929	28393095	1560.38798162765	0.976655312785578	+
chr6	48739012	48739148	2012.24454476375	0.983633795796295	+
